rightwing,gender,age,extraverted,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional
94,male,16,3,6,6,4,6,5,4,2,3,5
114,female,28,2,3,5,4,5,6,6,5,6,3
20,female,16,1,6,6,7,7,7,7,6,3,1
24,male,45,3,6,2,6,6,4,3,6,1,2
44,female,16,2,4,3,5,3,6,6,5,3,2
30,female,18,2,7,7,7,5,7,4,2,2,3
36,male,21,1,5,5,4,3,7,4,5,5,5
28,female,19,1,2,6,6,7,7,6,6,2,1
42,female,18,3,2,6,6,5,6,7,3,4,2
62,female,19,4,2,5,4,6,7,6,4,5,2
117,male,24,5,7,6,6,6,6,1,6,2,4
39,male,15,2,2,6,2,6,6,1,1,7,2
99,male,15,1,6,2,7,5,7,1,7,1,7
54,female,73,3,1,6,4,6,5,6,3,5,3
55,male,17,4,3,3,3,6,5,3,6,5,4
42,male,17,7,2,6,2,7,1,7,2,7,2
45,male,27,6,6,2,4,6,1,5,4,2,1
51,female,18,3,5,6,7,4,7,6,4,3,5
39,female,29,6,3,5,5,6,2,7,5,6,1
180,male,28,6,7,7,4,6,1,7,1,7,1
121,male,22,1,6,7,7,6,7,1,1,6,5
20,male,20,2,5,6,6,6,7,5,5,6,1
120,male,18,2,5,7,3,5,5,2,5,3,5
49,female,16,2,1,7,2,6,5,5,4,6,5
40,male,19,2,2,4,5,6,6,7,2,4,5
31,male,26,3,5,3,4,7,4,6,5,3,3
68,male,17,3,6,4,4,6,7,5,5,4,1
68,female,29,6,6,6,6,7,2,7,6,5,1
47,male,22,3,5,3,4,5,5,6,6,2,2
24,female,28,2,5,5,6,3,5,5,3,4,1
169,male,15,5,1,7,1,7,3,1,5,7,6
52,female,50,7,7,7,1,7,3,7,1,7,1
123,male,29,2,5,5,2,4,5,3,3,5,3
61,male,18,7,2,6,4,7,1,7,1,2,1
55,male,19,7,5,4,5,6,2,6,5,3,2
65,male,65,2,2,6,3,7,7,5,6,5,5
83,female,47,1,1,6,7,5,7,6,4,1,4
44,male,47,3,5,7,1,7,7,2,4,6,2
164,male,17,1,4,3,5,3,7,2,6,5,7
29,male,19,3,6,2,7,7,6,6,7,5,1
144,male,21,2,6,3,1,4,7,5,6,2,3
180,male,16,1,4,7,4,1,7,5,1,7,3
147,male,24,5,7,3,7,6,6,2,1,1,4
36,female,29,6,5,5,6,7,2,6,2,4,2
156,male,25,7,6,1,2,7,1,4,6,3,1
138,female,30,1,5,7,5,3,7,5,7,1,1
67,male,43,5,3,5,2,6,6,5,4,6,2
45,male,19,3,2,1,1,7,5,2,7,7,2
20,male,21,7,0,0,0,0,0,0,0,0,0
46,female,28,6,5,6,4,6,2,4,5,4,2
144,male,24,3,5,6,1,4,7,7,1,7,1
149,male,19,5,6,6,7,6,6,5,5,2,1
33,female,40,6,1,7,6,2,6,7,6,6,1
46,male,37,5,3,7,3,6,5,3,2,7,2
34,male,26,5,6,6,3,6,4,6,5,5,1
114,male,20,3,2,5,6,4,6,6,5,4,5
41,male,31,1,6,6,2,6,6,1,4,3,3
28,male,35,3,5,5,1,6,5,5,5,6,1
25,female,24,5,5,5,5,6,3,4,5,5,2
28,male,21,2,6,2,4,5,7,3,7,3,2
22,male,32,2,5,6,2,6,7,5,5,7,3
45,male,45,2,1,6,1,6,7,7,5,7,1
56,male,14,5,5,4,4,3,4,4,5,3,2
43,male,24,3,5,5,2,6,7,3,2,7,3
